FlightId,Price,DepartureCountry,DestinationCountry,DepartureDate,DepartureAirport,DestinationAirport,Class,IsBooked
FL001,500,USA,France,2025-06-15,John F. Kennedy International,Charles de Gaulle,Business,False
FL002,130,UK,Japan,2025-07-01,Heathrow,Narita International,Economy,False
FL003,599.99,Canada,Germany,2025-05-20,Toronto Pearson,Frankfurt Airport,FirstClass,True
FL004,385.75,Italy,Spain,2025-06-10,Leonardo da Vinci,Madrid-Barajas,Business,False
FL005,510,Australia,USA,2025-08-05,Sydney International,Los Angeles International,FirstClass,False
FL006,275,Greece,Turkey,2025-07-20,Athens International,Istanbul Airport,Economy,False
FL007,200,Germany,Sweden,2025-09-01,Frankfurt Airport,Stockholm Arlanda,Business,False
FL008,310.75,Brazil,Argentina,2025-08-15,São Paulo International,Ezeiza International,Economy,False
FL009,680,Japan,South Korea,2025-10-05,Haneda International,Incheon International,FirstClass,False
FL010,150,Spain,Portugal,2025-06-25,Barcelona-El Prat,Lisbon Humberto Delgado,Economy,False
